ENERGY STAR Unique ID,ENERGY STAR Partner,Brand Name,Model Name,Model Number,Additional Model Information,UPC,Product Type,Panel Type,Native Resolution (pixels),Total Native Resolution (megapixels),Screen Size (inches),Screen Area (square inches),Model Features,Features Enabled in Default On Mode,Features Enabled in Default Sleep Mode,Signal or Data Interfaces,Power Source,On Mode Power (watts),Maximum On Mode Power Limit for Signage Certification (watts),Sleep Mode Power (watts),Maximum Sleep Mode Power Limit for Signage Certification (watts),Off Mode Power (watts),On Mode Power at 12 Lux at 115 Volts (W),On Mode Power at 300 Lux (watts),Monitor Total Energy Consumption at 115 Volts (kWh/yr),Maximum Total Energy Consumption Limit for Monitor Certification (kWh/yr),Maximum Luminance (candelas per square meter),Enhanced-Performance Display?,Color Gamut,Color Spaces Supported,High Dynamic Range (HDR),Display Contrast Ratio  at 0 deg. Horiz. Viewing Angle,Reported Contrast Ratio at -85 Degrees (Left) Horizontal Viewing Angle,Reported Contrast Ratio at +85 Degrees (Right) Horizontal Viewing Angle,USB-C with Power Delivery Supported,Maximum Power Delivery (W),Tiled Display System,Maximum Tiled Configuration,Date Available On Market,Date Certified,Markets,CB Model Identifier,Meets Most Efficient 2023 Criteria
2352652,BenQ Corporation,BenQ,GL2780,GL2780-B,"GL2780E, BL2783, BL2783E,,",840046041618;840046042219,Monitor,TN LCD,1920 x 1080,2.1,27,311.37,"Variable Refresh Rate,Bluetooth",Automatic Brightness Control,None,"VGA,DVI,Display,HDMI",Ac to dc internal power supply,13.8,,0.1,,0.1,,,43,52,300,No,33.8,sRGB,N/A,1000,,,No,0,No,0,01/28/2020 12:00:00 AM,01/06/2020 12:00:00 AM,"United States, Switzerland, Taiwan, Japan, Canada",ES_1048959_GL2780-B_01072020162603_4768947,No
2351325,BenQ Corporation,BenQ,GW2283,GW2280-T,"BL2283,GW2280-T,; GW2283E,GW2280-T,",840046034603;840046040666,Monitor,TFT LCD,1080 x 1920,2.1,21.5,213.58,Built-In Speakers,Built-In Speakers,None,"VGA,HDMI",Ac to dc internal power supply,12.99,,0.29,,0.25,,,42.12,43.13,250,No,,None,N/A,1000,,,No,,,,10/15/2018 12:00:00 AM,12/16/2019 12:00:00 AM,"United States, Taiwan, Japan, Canada",ES_1048959_GW2280-T_12122019160315_4502221,No
2348944,BenQ Corporation,BenQ,GW2381,GW2381-L,"GW2381E,GW2381-L,",840046041595;840046046354,Monitor,TFT LCD,1200 x 1920,2.3,22.5,224.86,Built-In Speakers,Built-In Speakers,None,"VGA,Display,HDMI",Ac to dc internal power supply,14.18,,0.24,,0.17,,,45.03,45.08,250,No,,None,N/A,1000,,,No,,,,06/26/2019 12:00:00 AM,10/24/2019 12:00:00 AM,"United States, Taiwan, Japan, Canada",ES_1048959_GW2381-L_10182019155737_2040979,No
2344628,BenQ Corporation,BenQ,GW2480,GW2480-B,"GW2480E, BL2480,,",840046034719;840046037079,Monitor,IPS LCD,1920  x 1080,2.1,23.8,242.18,"Variable Refresh Rate,Built-In Speakers",Automatic Brightness Control,None,"VGA,Display,HDMI",Ac to dc internal power supply,10.2,,0.2,,0.1,,,32.3,45.7,250,No,33.5,sRGB,N/A,1000,,,No,,No,0,01/28/2020 12:00:00 AM,11/19/2019 12:00:00 AM,"United States, Switzerland, Taiwan, Japan, Canada",ES_1048959_GW2480-B_08152019112423I49_1126158,Yes
2396742,BenQ Corporation,BenQ,GW2480,GW2480-B,"GW2480E, BL2480, GW2480L, GW2480EL, BL2480L,,only marketing name different",840046047238;840046047245,Monitor,IPS LCD,1920 x 1080,2.1,23.8,242.18,"Variable Refresh Rate,Built-In Speakers",Variable Refresh Rate,None,"VGA,Display,HDMI",Ac to dc internal power supply,10,,0.2,0.5,0.1,,,31.6,45.7,250,No,33.1,sRGB,N/A,1000,1,1,No,0,No,0,01/28/2019 12:00:00 AM,05/06/2022 12:00:00 AM,"United States, Switzerland, Taiwan, Japan, Canada",ES_1048959_GW2480-B_05062022162450I48_7349927,Yes
2349777,BenQ Corporation,BenQ,GW2480,GW2480-T,"BL2480,GW2480-T,; BL2480L,GW2480-T,; BL2480T,GW2480-T,; BL2480TL,GW2480-T,; GW2480E,GW2480-T,; GW2480EL,GW2480-T,; GW2480L,GW2480-T,; GW2480T,GW2480-T,; GW2480TL,GW2480-T,",840046034719;840046037079;840046040956;840046043452;840046047238;840046047245;840046047269;840046047290,Monitor,IPS LCD,1080 x 1920,2.1,23.8,242.18,Built-In Speakers,Built-In Speakers,None,"VGA,Display,HDMI",Ac to dc internal power supply,13.02,,0.23,,0.16,,,45.53,45.73,250,No,33.2,None,N/A,1000,,,No,,,,11/04/2019 12:00:00 AM,11/14/2019 12:00:00 AM,"United States, Taiwan, Japan, Canada",ES_1048959_GW2480-T_11122019183852_536615,No
2382263,BenQ Corporation,BenQ,GW2485TC,GW2485-B,"BL2485TC, GW2485TE,,",840046045746;840046045753;840046046699,Monitor,IPS LCD,1920 x 1080,2.1,23.8,242.18,"Variable Refresh Rate,USB-C,Built-In Speakers","Variable Refresh Rate,Built-In Speakers",None,"Display,HDMI,USB",Ac to dc internal power supply,14.29,,0.36,,0.28,,,45.89,48.5,350,No,36.0,sRGB,N/A,1000,,,Yes,60,No,0,07/15/2021 12:00:00 AM,07/16/2021 12:00:00 AM,"United States, Switzerland, Taiwan, Japan, Canada",ES_1048959_GW2485-B_07162021162440I48_7349927,No
2348983,BenQ Corporation,BenQ,GW2780,GW2780-B,"GW2780E, BL2780, BL2780T,,",840046034726;840046037109;840046039646,Monitor,IPS LCD,1920  x 1080,2.1,27,311.67,"Variable Refresh Rate,Built-In Speakers",Automatic Brightness Control,None,"VGA,Display,HDMI",Ac to dc internal power supply,12.9,,0.2,,0.1,,,40.4,52.1,250,No,33,sRGB,N/A,1000,,,No,0,No,0,01/28/2020 12:00:00 AM,10/24/2019 12:00:00 AM,"United States, Switzerland, Taiwan, Japan, Canada",ES_1048959_GW2780‐B_10242019102433I17_3606062,Yes
2351552,BenQ Corporation,BenQ,GW2780,GW2780-T,"BL2780,GW2780-T,; BL2780T,GW2780-T,; GW2780E,GW2780-T,; GW2780T,GW2780-T,",840046034726;840046037109;840046043551;840046044275,Monitor,IPS LCD,1080 x 1920,2.1,27,311.67,Built-In Speakers,Built-In Speakers,None,"VGA,Display,HDMI",Ac to dc internal power supply,15.47,,0.24,,0.17,,,51.9,52.06,281.9,No,,None,N/A,1000,,,No,,,,09/20/2018 12:00:00 AM,12/19/2019 12:00:00 AM,"United States, Taiwan, Japan, Canada",ES_1048959_GW2780-T_12162019134415_380670,No
2382267,BenQ Corporation,BenQ,GW2785TC,GW2785-B,"BL2785TC, GW2785TE,,",840046045760;840046045784;840046046682,Monitor,IPS LCD,1920 x 1080,2.1,27,311.67,"Variable Refresh Rate,USB-C,Built-In Speakers","Variable Refresh Rate,Built-In Speakers",None,"Display,HDMI,USB",Ac to dc internal power supply,16.2,,0.28,,0.19,,,,54.8,300,No,35.9,sRGB,N/A,1000,1,1,Yes,60,No,0,07/15/2021 12:00:00 AM,07/15/2021 12:00:00 AM,"United States, Switzerland, Taiwan, Japan, Canada",ES_1048959_GW2785-B_07192021140923_9914409,No
